thresh,helpers,weight,protein,COMBIND,GLIDE,COMBIND_GLIDE,GLIDE_COMBIND,2D_mean,SHAPE_mean
0.225,15,1.0,src,0.08201752407891394,0.1172210468447962,0.1167076046684529,0.08751987664022745,-0.020255196898410533,-0.008549115001167396
0.225,15,1.0,thrb,0.384665469947592,0.29018408149160446,0.2756732161446252,0.36718474082046587,0.043156793385723584,0.016489608666405236
0.225,15,1.0,try1,0.24356613162450177,0.1177820947064638,0.13682862240694885,0.2462412109941052,0.05404377715779965,0.014955249612676602
0.225,15,1.0,urok,0.4063803838031268,0.12335918216802014,0.1359823942004287,0.4004352518991269,0.12696992085736594,0.08235527416514932
0.225,15,1.0,vgfr2,0.052951711040018765,0.06679998622896874,0.046178028237067834,0.039773175849745504,0.06787728646146082,0.13894425715121939
0.25,0,1.0,aa2ar,0.3593936943116369,0.29524917239401616,0.2805609578000623,0.32890436708440507,0.16286025154717024,0.20996303715187387
0.25,0,1.0,abl1,0.2610541159553099,0.3061635082904245,0.2912616691353507,0.22022820794011091,0.07540550317490587,0.08830573153824794
0.25,0,1.0,ace,0.07350235859425275,0.11350291418682971,0.11139027209759739,0.058184477219961936,-0.06539231523478882,-0.0796161764180772
0.25,0,1.0,aces,0.03111987479514349,0.0649175926416722,0.05230020039043717,0.015486595420779684,0.008107805147677593,-0.007364476615184079
0.25,0,1.0,ada17,-0.010301280235543034,0.057961529097745455,0.07071139914230273,-0.021203674567938043,-0.061999558178932546,-0.04923753197139511
0.25,0,1.0,adrb1,0.3785195017237529,0.10428435320828941,0.10496608458549644,0.3668237993711145,0.11532447711288135,0.14662847740548818
0.25,0,1.0,adrb2,0.2434591127019904,0.08463394709577113,0.0812616674587874,0.21776562390398016,0.10891422522616377,0.16127853142615536
0.25,0,1.0,akt1,0.06297789809441333,0.14039613532232012,0.09990821173868358,0.029696646227333322,0.13261324262745885,-0.006779949829944615
0.25,0,1.0,aldr,0.020019619790436146,0.029382318738030728,0.031489390199109554,0.014747696884478401,0.057815789956652396,-0.015441379884521864
0.25,0,1.0,andr,0.25848704816153634,0.26586962945490106,0.26357231153022065,0.2288377057316504,0.0643199363006746,0.11605581190996021
0.25,0,1.0,aofb,0.13172610541307622,0.08915630168631741,0.07935292415879686,0.07774835043816945,0.14532853382644567,0.014534091876918686
